Date : 2026-03-08 16:08:31
Directory : c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main
Total : 344 files,  48453 codes, 3205 comments, 6454 blanks, all 58112 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| src\pages\TermsOfService                                                                                                                                      |          4 |        519 |         26 |         36 |        581 |
| src\pages\TermsOfService (Files)                                                                                                                              |          3 |        185 |         17 |         30 |        232 |
| src\pages\TermsOfService\constants                                                                                                                            |          1 |        334 |          9 |          6 |        349 |
| src\pages\VerifyEmail                                                                                                                                         |          1 |         60 |          5 |         11 |         76 |
| src\pages\forget-password                                                                                                                                     |          2 |        208 |          0 |         32 |        240 |
| src\pages\myCourses                                                                                                                                           |          2 |         88 |          1 |         11 |        100 |
| src\pages\reset-password                                                                                                                                      |          2 |        183 |          0 |         23 |        206 |
| src\providers                                                                                                                                                 |          1 |         21 |         10 |          4 |         35 |
| src\services                                                                                                                                                  |          1 |        272 |         78 |         42 |        392 |
| src\store                                                                                                                                                     |          8 |      1,451 |         53 |         83 |      1,587 |
| src\store (Files)                                                                                                                                             |          1 |         24 |          4 |          2 |         30 |
| src\store\slices                                                                                                                                              |          7 |      1,427 |         49 |         81 |      1,557 |
| src\styles                                                                                                                                                    |          1 |         32 |          1 |          6 |         39 |
| src\utils                                                                                                                                                     |          7 |        305 |        216 |         72 |        593 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                                      | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\.github\legacy_workflows\main_mynew-app-frontend.yml                                 | YAML           |         51 |          2 |         12 |         65 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\.github\workflows\azure-static-web-apps-red-island-0ed202b1e.yml                     | YAML           |         43 |          3 |          4 |         50 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\DEBUGGING_GUIDE.md                                                                   | Markdown       |        114 |          0 |         58 |        172 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\README.md                                                                            | Markdown       |          7 |          0 |          6 |         13 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\eslint.config.js                                                                     | JavaScript     |         32 |          0 |          2 |         34 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\index.html                                                                           | HTML           |         13 |          0 |          1 |         14 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\package-lock.json                                                                    | JSON           |      5,544 |          0 |          1 |      5,545 |
| c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\package.json                                                                         | JSON           |         52 |          0 |          1 |         53 |
