"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "XML", "PostCSS", "JavaScript JSX", "YAML", "TypeScript", "comment", "blank", "total"
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\LessonPage\components\LoadingState.module.css", "PostCSS", 0, 0, 0, 0, 0, 231, 0, 0, 0, 5, 34, 270
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\LessonPage\components\MiniProgress.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 107, 0, 0, 11, 12, 130
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\LessonPage\components\MiniProgress.module.css", "PostCSS", 0, 0, 0, 0, 0, 195, 0, 0, 0, 9, 38, 242
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\LessonPage\components\NavigationBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 230, 0, 0, 12, 17, 259
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\LessonPage\components\NavigationBar.module.css", "PostCSS", 0, 0, 0, 0, 0, 302, 0, 0, 0, 9, 60, 371
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\LessonPage\components\ProgressBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 6, 9, 98
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\LessonPage\components\ProgressBar.module.css", "PostCSS", 0, 0, 0, 0, 0, 256, 0, 0, 0, 6, 46, 308
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\LessonPage\components\QuickActions.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 187, 0, 0, 11, 15, 213
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\LessonPage\components\QuickActions.module.css", "PostCSS", 0, 0, 0, 0, 0, 166, 0, 0, 0, 7, 27, 200
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\LessonPage\components\SectionAccordion.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 4, 9, 96
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\LessonPage\components\SectionAccordion.module.css", "PostCSS", 0, 0, 0, 0, 0, 200, 0, 0, 0, 4, 41, 245
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\LessonPage\components\VideoPlayer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 4, 5, 50
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\LessonPage\components\VideoPlayer.module.css", "PostCSS", 0, 0, 0, 0, 0, 95, 0, 0, 0, 14, 16, 125
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\LessonPage\components\index.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 3, 26
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\LessonPage\constants\index.js", "JavaScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 11, 8, 62
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\LessonPage\hooks\index.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 2, 9
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\LessonPage\hooks\useCertificateModal.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 14, 7, 50
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\LessonPage\hooks\useLessonCompletion.js", "JavaScript", 0, 0, 0, 70, 0, 0, 0, 0, 0, 18, 12, 100
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\LessonPage\hooks\useLessonData.js", "JavaScript", 0, 0, 0, 121, 0, 0, 0, 0, 0, 26, 14, 161
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\LessonPage\hooks\useLessonNavigation.js", "JavaScript", 0, 0, 0, 110, 0, 0, 0, 0, 0, 34, 21, 165
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\LessonPage\index.html", "HTML", 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 22, 219
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\LessonPage\index.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 2, 9
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Login\Login.css", "PostCSS", 0, 0, 0, 0, 0, 268, 0, 0, 0, 23, 46, 337
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Login\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 175, 0, 0, 8, 18, 201
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\NotFound\NotFound.css", "PostCSS", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 15, 96
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\NotFound\NotFound.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 2, 30
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\PrivacyPolicy\PrivacyPolicy.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 10, 7, 64
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\PrivacyPolicy\PrivacyPolicy.module.css", "PostCSS", 0, 0, 0, 0, 0, 132, 0, 0, 0, 4, 21, 157
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\PrivacyPolicy\README.md", "Markdown", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 14, 57
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\PrivacyPolicy\components\HeroSection\HeroSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 0, 5, 5, 53
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\PrivacyPolicy\components\HeroSection\HeroSection.module.css", "PostCSS", 0, 0, 0, 0, 0, 182, 0, 0, 0, 3, 22, 207
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\PrivacyPolicy\components\PolicySection\PolicySection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 130, 0, 0, 6, 14, 150
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\PrivacyPolicy\components\PolicySection\PolicySection.module.css", "PostCSS", 0, 0, 0, 0, 0, 238, 0, 0, 0, 5, 35, 278
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\PrivacyPolicy\components\TableOfContents\TableOfContents.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 148, 0, 0, 17, 29, 194
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\PrivacyPolicy\components\TableOfContents\TableOfContents.module.css", "PostCSS", 0, 0, 0, 0, 0, 197, 0, 0, 0, 5, 29, 231
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\PrivacyPolicy\components\index.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 2, 9
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\PrivacyPolicy\constants\index.js", "JavaScript", 0, 0, 0, 223, 0, 0, 0, 0, 0, 10, 7, 240
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\PrivacyPolicy\index.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 2, 7
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Profile\Profile.css", "PostCSS", 0, 0, 0, 0, 0, 149, 0, 0, 0, 1, 6, 156
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Profile\Profile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 139, 0, 0, 2, 13, 154
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Sales\SalesDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 194, 0, 0, 18, 23, 235
"c:\Users\dell\Documents\ScholarX\ScholarX-React-main\ScholarX-React-main\src\pages\Sales\SalesDashboard.module.css", "PostCSS", 0, 0, 0, 0, 0, 149, 0, 0, 0, 9, 19, 177
